Instance name,T,max time,# days,# customers,# operations,Opt. no waiting,Opt. waiting,Problem type,Algorithm,# cons,# var,Root time (sec.),Total time (sec.),SEC r_time (sec.),SEC time (sec.),PEC r_time (sec.),PEC time (sec.),# BB r_iterations,# BC iterations,# BC nodes,# SEC r_cuts,# SEC cuts,# PEC r_cuts,# PEC cuts,Root LB,Root UB,Best Bound,Best Integer,Status
ulysses16_p5_f50_lL,625,6880,5,15,40,28816,28783,CTSP_2,COMPACT,432,321,0.02,0.47,0.00,0.04,0.00,0.00,200,18728,1376,13,59,0,0,28522.0,28783,28780.22,28783,2
ulysses16_p5_f50_lM,938,6880,5,15,40,28816,28783,CTSP_2,COMPACT,432,321,0.03,0.36,0.00,0.03,0.00,0.00,208,14025,996,13,54,0,0,28522.0,28783,28780.57,28783,2
ulysses16_p5_f70_lH,1330,7316,5,15,59,32502,32502,CTSP_2,COMPACT,922,694,0.09,1.66,0.00,0.11,0.00,0.00,327,43461,1932,16,110,0,0,32034.0,32518,32498.79,32502,2
ulysses16_p5_f70_lL,665,7316,5,15,59,32502,32502,CTSP_2,COMPACT,922,694,0.09,1.32,0.00,0.10,0.00,0.00,330,29034,1407,16,100,0,0,32034.0,32518,32498.99,32502,2
ulysses16_p5_f70_lM,997,7316,5,15,59,32502,32502,CTSP_2,COMPACT,922,694,0.07,2.15,0.00,0.17,0.00,0.00,380,52099,2959,16,131,0,0,32034.0,32518,32498.87,32502,2
ulysses16_p5_f90_lH,1348,7417,5,15,66,33408,33408,CTSP_2,COMPACT,1144,869,0.13,1.09,0.00,0.07,0.00,0.00,421,18777,741,22,75,0,0,33184.0,33408,33404.74,33408,2
ulysses16_p5_f90_lL,674,7417,5,15,66,33408,33408,CTSP_2,COMPACT,1144,869,0.11,0.68,0.00,0.02,0.00,0.00,421,8287,338,22,63,0,0,33184.0,33408,33407.00,33408,2
ulysses16_p5_f90_lM,1011,7417,5,15,66,33408,33408,CTSP_2,COMPACT,1144,869,0.10,0.28,0.00,0.00,0.00,0.00,431,2180,68,22,45,0,0,33184.0,33408,33405.47,33408,2
br17_p3_f50_lH,7,42,3,16,26,117,117,CTSP_2,COMPACT,282,225,0.00,0.00,0.00,0.00,0.00,0.00,0,141,0,19,19,0,0,0.0,0,117.00,117,2
br17_p3_f50_lL,3,42,3,16,26,117,117,CTSP_2,COMPACT,282,225,0.00,0.00,0.00,0.00,0.00,0.00,0,159,0,19,19,0,0,0.0,0,117.00,117,2
br17_p3_f50_lM,5,42,3,16,26,117,117,CTSP_2,COMPACT,282,225,0.00,0.00,0.00,0.00,0.00,0.00,0,163,0,19,19,0,0,0.0,0,117.00,117,2
br17_p3_f70_lH,7,42,3,16,37,117,117,CTSP_2,COMPACT,546,458,0.00,0.02,0.00,0.00,0.00,0.00,0,237,0,36,36,0,0,0.0,0,117.00,117,2
br17_p3_f70_lL,3,42,3,16,37,117,117,CTSP_2,COMPACT,546,458,0.00,0.01,0.00,0.00,0.00,0.00,0,220,0,32,32,0,0,0.0,0,117.00,117,2
br17_p3_f70_lM,5,42,3,16,37,117,117,CTSP_2,COMPACT,546,458,0.00,0.02,0.00,0.00,0.00,0.00,0,239,0,36,36,0,0,0.0,0,117.00,117,2
br17_p3_f90_lH,7,42,3,16,42,117,117,CTSP_2,COMPACT,694,587,0.00,0.01,0.00,0.00,0.00,0.00,0,297,0,37,37,0,0,0.0,0,117.00,117,2
br17_p3_f90_lL,3,42,3,16,42,117,117,CTSP_2,COMPACT,694,587,0.00,0.02,0.00,0.00,0.00,0.00,0,349,0,33,33,0,0,0.0,0,117.00,117,2
br17_p3_f90_lM,5,42,3,16,42,117,117,CTSP_2,COMPACT,694,587,0.00,0.02,0.00,0.00,0.00,0.00,0,322,0,33,33,0,0,0.0,0,117.00,117,2
br17_p5_f50_lH,7,42,5,16,44,195,195,CTSP_2,COMPACT,500,385,0.00,0.01,0.00,0.00,0.00,0.00,0,246,0,28,28,0,0,0.0,0,195.00,195,2
br17_p5_f50_lL,3,42,5,16,44,195,195,CTSP_2,COMPACT,500,385,0.00,0.01,0.00,0.00,0.00,0.00,0,255,0,28,28,0,0,0.0,0,195.00,195,2
br17_p5_f50_lM,5,42,5,16,44,195,195,CTSP_2,COMPACT,500,385,0.00,0.01,0.00,0.00,0.00,0.00,0,243,0,27,27,0,0,0.0,0,195.00,195,2
br17_p5_f70_lH,7,42,5,16,61,190,190,CTSP_2,COMPACT,972,746,0.00,0.01,0.00,0.00,0.00,0.00,0,421,0,51,51,0,0,0.0,0,190.00,190,2
br17_p5_f70_lL,3,42,5,16,61,190,190,CTSP_2,COMPACT,972,746,0.00,0.02,0.00,0.00,0.00,0.00,0,464,0,58,58,0,0,0.0,0,190.00,190,2
br17_p5_f70_lM,5,42,5,16,61,190,190,CTSP_2,COMPACT,972,746,0.00,0.02,0.00,0.00,0.00,0.00,0,419,0,52,52,0,0,0.0,0,190.00,190,2
br17_p5_f90_lH,7,42,5,16,71,195,195,CTSP_2,COMPACT,1296,1006,0.00,0.04,0.00,0.00,0.00,0.00,0,532,0,61,61,0,0,0.0,0,195.00,195,2
br17_p5_f90_lL,3,42,5,16,71,195,195,CTSP_2,COMPACT,1296,1006,0.00,0.04,0.00,0.00,0.00,0.00,0,581,0,57,57,0,0,0.0,0,195.00,195,2
br17_p5_f90_lM,5,42,5,16,71,195,195,CTSP_2,COMPACT,1296,1006,0.00,0.03,0.00,0.00,0.00,0.00,0,496,0,54,54,0,0,0.0,0,195.00,195,2
gr17_p3_f50_lH,359,1970,3,16,27,5186,5186,CTSP_2,COMPACT,298,242,0.00,0.01,0.00,0.00,0.00,0.00,0,167,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f50_lL,179,1970,3,16,27,5186,5186,CTSP_2,COMPACT,298,242,0.00,0.00,0.00,0.00,0.00,0.00,0,164,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f50_lM,269,1970,3,16,27,5186,5186,CTSP_2,COMPACT,298,242,0.00,0.00,0.00,0.00,0.00,0.00,0,164,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f70_lH,387,2068,3,16,37,5563,5534,CTSP_2,COMPACT,546,456,0.07,1.88,0.00,0.19,0.00,0.00,250,58921,4912,11,108,0,0,5499.0,5586,5534.00,5534,2
gr17_p3_f70_lL,193,2068,3,16,37,5621,5588,CTSP_2,COMPACT,546,456,0.06,8.09,0.00,0.80,0.00,0.00,264,263090,22305,11,182,0,0,5499.0,5588,5588.00,5588,2
gr17_p3_f70_lM,290,2068,3,16,37,5588,5534,CTSP_2,COMPACT,546,456,0.04,1.99,0.00,0.26,0.00,0.00,246,60947,5829,11,94,0,0,5499.0,5586,5534.00,5534,2
gr17_p3_f90_lH,416,2242,3,16,44,6009,6009,CTSP_2,COMPACT,762,647,0.04,0.11,0.00,0.00,0.00,0.00,320,1705,79,20,38,0,0,5975.0,6009,6009.00,6009,2
gr17_p3_f90_lL,208,2242,3,16,44,6009,6009,CTSP_2,COMPACT,762,647,0.04,0.13,0.00,0.01,0.00,0.00,331,1516,67,18,37,0,0,5975.0,6009,6009.00,6009,2
gr17_p3_f90_lM,312,2242,3,16,44,6009,6009,CTSP_2,COMPACT,762,647,0.04,0.14,0.00,0.01,0.00,0.00,320,2123,101,20,41,0,0,5975.0,6009,6009.00,6009,2
