ulysses16_p3_f50_lL 	  625	 6880	    3	   15	   26	  17303.0	  17303.0	CTSP_2         	COMPACT        	   274	   225	    0.02	    0.02	    0.00	    0.00	    0.00	    0.00	      165	      256	        8	        9	       11	        0	        0	      17283.0000	         17303.0	      17303.0000	        17303.00	   2	
ulysses16_p3_f50_lM 	  938	 6880	    3	   15	   26	  17303.0	  17303.0	CTSP_2         	COMPACT        	   274	   225	    0.01	    0.01	    0.00	    0.00	    0.00	    0.00	      145	      213	        9	        9	       14	        0	        0	      17283.0000	         17303.0	      17303.0000	        17303.00	   2	
ulysses16_p3_f70_lH 	 1330	 7241	    3	   15	   35	  19668.0	  19668.0	CTSP_2         	COMPACT        	   492	   408	    0.03	    0.23	    0.00	    0.02	    0.00	    0.00	      193	     5458	      405	        9	       43	        0	        0	      19385.0000	         19668.0	      19667.0000	        19668.00	   2	
ulysses16_p3_f70_lL 	  665	 7241	    3	   15	   35	  19668.0	  19668.0	CTSP_2         	COMPACT        	   492	   408	    0.04	    0.16	    0.00	    0.01	    0.00	    0.00	      210	     3412	      239	        9	       42	        0	        0	      19385.0000	         19668.0	      19666.6487	        19668.00	   2	
ulysses16_p3_f70_lM 	  997	 7241	    3	   15	   35	  19668.0	  19668.0	CTSP_2         	COMPACT        	   492	   408	    0.03	    0.13	    0.00	    0.01	    0.00	    0.00	      206	     2608	      168	        9	       41	        0	        0	      19385.0000	         19668.0	      19667.0000	        19668.00	   2	
ulysses16_p3_f90_lH 	 1348	 7417	    3	   15	   39	  20212.0	  20212.0	CTSP_2         	COMPACT        	   608	   506	    0.04	    0.39	    0.00	    0.03	    0.00	    0.00	      239	     8965	      752	       12	       59	        0	        0	      20049.0000	         20212.0	      20210.0000	        20212.00	   2	
ulysses16_p3_f90_lL 	  674	 7417	    3	   15	   39	  20212.0	  20212.0	CTSP_2         	COMPACT        	   608	   506	    0.05	    0.30	    0.00	    0.02	    0.00	    0.00	      242	     7587	      504	       12	       52	        0	        0	      20049.0000	         20212.0	      20210.7610	        20212.00	   2	
ulysses16_p3_f90_lM 	 1011	 7417	    3	   15	   39	  20212.0	  20212.0	CTSP_2         	COMPACT        	   608	   506	    0.06	    0.44	    0.00	    0.03	    0.00	    0.00	      247	     9771	      775	       12	       54	        0	        0	      20049.0000	         20212.0	      20210.0000	        20212.00	   2	
ulysses16_p5_f50_lH 	 1251	 6880	    5	   15	   40	  28783.0	  28783.0	CTSP_2         	COMPACT        	   432	   321	    0.02	    0.43	    0.00	    0.05	    0.00	    0.00	      223	    15930	     1344	       13	       57	        0	        0	      28522.0000	         28783.0	      28780.4829	        28783.00	   2	
ulysses16_p5_f50_lL 	  625	 6880	    5	   15	   40	  28816.0	  28783.0	CTSP_2         	COMPACT        	   432	   321	    0.02	    0.47	    0.00	    0.04	    0.00	    0.00	      200	    18728	     1376	       13	       59	        0	        0	      28522.0000	         28783.0	      28780.2233	        28783.00	   2	
ulysses16_p5_f50_lM 	  938	 6880	    5	   15	   40	  28816.0	  28783.0	CTSP_2         	COMPACT        	   432	   321	    0.03	    0.36	    0.00	    0.03	    0.00	    0.00	      208	    14025	      996	       13	       54	        0	        0	      28522.0000	         28783.0	      28780.5711	        28783.00	   2	
ulysses16_p5_f70_lH 	 1330	 7316	    5	   15	   59	  32502.0	  32502.0	CTSP_2         	COMPACT        	   922	   694	    0.09	    1.66	    0.00	    0.11	    0.00	    0.00	      327	    43461	     1932	       16	      110	        0	        0	      32034.0000	         32518.0	      32498.7935	        32502.00	   2	
ulysses16_p5_f70_lL 	  665	 7316	    5	   15	   59	  32502.0	  32502.0	CTSP_2         	COMPACT        	   922	   694	    0.09	    1.32	    0.00	    0.10	    0.00	    0.00	      330	    29034	     1407	       16	      100	        0	        0	      32034.0000	         32518.0	      32498.9905	        32502.00	   2	
ulysses16_p5_f70_lM 	  997	 7316	    5	   15	   59	  32502.0	  32502.0	CTSP_2         	COMPACT        	   922	   694	    0.07	    2.15	    0.00	    0.17	    0.00	    0.00	      380	    52099	     2959	       16	      131	        0	        0	      32034.0000	         32518.0	      32498.8695	        32502.00	   2	
ulysses16_p5_f90_lH 	 1348	 7417	    5	   15	   66	  33408.0	  33408.0	CTSP_2         	COMPACT        	  1144	   869	    0.13	    1.09	    0.00	    0.07	    0.00	    0.00	      421	    18777	      741	       22	       75	        0	        0	      33184.0000	         33408.0	      33404.7439	        33408.00	   2	
ulysses16_p5_f90_lL 	  674	 7417	    5	   15	   66	  33408.0	  33408.0	CTSP_2         	COMPACT        	  1144	   869	    0.11	    0.68	    0.00	    0.02	    0.00	    0.00	      421	     8287	      338	       22	       63	        0	        0	      33184.0000	         33408.0	      33407.0000	        33408.00	   2	
ulysses16_p5_f90_lM 	 1011	 7417	    5	   15	   66	  33408.0	  33408.0	CTSP_2         	COMPACT        	  1144	   869	    0.10	    0.28	    0.00	    0.00	    0.00	    0.00	      431	     2180	       68	       22	       45	        0	        0	      33184.0000	         33408.0	      33405.4687	        33408.00	   2	
br17_p3_f50_lH      	    7	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	COMPACT        	   282	   225	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	        0	      141	        0	       19	       19	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f50_lL      	    3	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	COMPACT        	   282	   225	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	        0	      159	        0	       19	       19	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f50_lM      	    5	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	COMPACT        	   282	   225	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	        0	      163	        0	       19	       19	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f70_lH      	    7	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	COMPACT        	   546	   458	    0.00	    0.02	    0.00	    0.00	    0.00	    0.00	        0	      237	        0	       36	       36	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f70_lL      	    3	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	COMPACT        	   546	   458	    0.00	    0.01	    0.00	    0.00	    0.00	    0.00	        0	      220	        0	       32	       32	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f70_lM      	    5	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	COMPACT        	   546	   458	    0.00	    0.02	    0.00	    0.00	    0.00	    0.00	        0	      239	        0	       36	       36	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f90_lH      	    7	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	COMPACT        	   694	   587	    0.00	    0.01	    0.00	    0.00	    0.00	    0.00	        0	      297	        0	       37	       37	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f90_lL      	    3	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	COMPACT        	   694	   587	    0.00	    0.02	    0.00	    0.00	    0.00	    0.00	        0	      349	        0	       33	       33	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p3_f90_lM      	    5	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	COMPACT        	   694	   587	    0.00	    0.02	    0.00	    0.00	    0.00	    0.00	        0	      322	        0	       33	       33	        0	        0	          0.0000	             0.0	        117.0000	          117.00	   2	
br17_p5_f50_lH      	    7	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	COMPACT        	   500	   385	    0.00	    0.01	    0.00	    0.00	    0.00	    0.00	        0	      246	        0	       28	       28	        0	        0	          0.0000	             0.0	        195.0000	          195.00	   2	
br17_p5_f50_lL      	    3	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	COMPACT        	   500	   385	    0.00	    0.01	    0.00	    0.00	    0.00	    0.00	        0	      255	        0	       28	       28	        0	        0	          0.0000	             0.0	        195.0000	          195.00	   2	
br17_p5_f50_lM      	    5	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	COMPACT        	   500	   385	    0.00	    0.01	    0.00	    0.00	    0.00	    0.00	        0	      243	        0	       27	       27	        0	        0	          0.0000	             0.0	        195.0000	          195.00	   2	
