Instance name,Subramanyam and Gounaris (2018),Root time (sec.),Total time (sec.),# BC nodes,Root LB,Root UB,root-Gap,Best Bound,Best Integer,Status,res-Gap,Best known
gr17_p3_f90_lM,6009,0.08,0.09,18,5975.0,6009,0.6,6009.0,6009,1,,0
gr17_p5_f50_lH,8448,0.06,0.04,3,8444.0,8448,0.0,8448.0,8448,1,,0
gr17_p5_f50_lL,8456,0.04,0.04,10,8445.0,8456,0.1,8456.0,8456,1,,0
gr17_p5_f50_lM,8452,0.07,0.08,19,8444.0,8452,0.1,8452.0,8452,1,,0
gr17_p5_f70_lH,9232,0.13,1.64,1380,9144.0,9232,1.0,9232.0,9232,1,,0
gr17_p5_f70_lL,9238,0.12,0.34,116,9144.0,9238,1.0,9238.0,9238,1,,0
gr17_p5_f70_lM,9234,0.11,0.76,547,9144.0,9234,1.0,9234.0,9234,1,,0
gr17_p5_f90_lH,10027,0.11,0.49,280,9962.0,10027,0.7,10026.0,10027,1,,0
gr17_p5_f90_lL,10027,0.15,0.41,154,9962.0,10027,0.7,10027.0,10027,1,,0
gr17_p5_f90_lM,10027,0.14,0.54,319,9962.0,10027,0.7,10026.0,10027,1,,0
gr21_p3_f50_lH,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
gr21_p3_f50_lL,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
gr21_p3_f50_lM,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
gr21_p3_f70_lH,7192,0.05,0.04,4,7189.0,7192,0.0,7192.0,7192,1,,0
gr21_p3_f70_lL,7192,0.05,0.04,5,7187.0,7192,0.1,7192.0,7192,1,,0
gr21_p3_f70_lM,7192,0.05,0.04,5,7187.0,7192,0.1,7192.0,7192,1,,0
gr21_p3_f90_lH,7993,0.00,0.01,0,7993.0,7993,0.0,7993.0,7993,1,,0
gr21_p3_f90_lL,7993,0.00,0.01,0,7993.0,7993,0.0,7993.0,7993,1,,0
gr21_p3_f90_lM,7993,0.00,0.01,0,7993.0,7993,0.0,7993.0,7993,1,,0
gr21_p5_f50_lH,11587,0.08,0.06,3,11565.0,11587,0.2,11587.0,11587,1,,0
gr21_p5_f50_lL,11587,0.08,0.05,4,11565.0,11587,0.2,11587.0,11587,1,,0
gr21_p5_f50_lM,11587,0.08,0.06,7,11565.0,11587,0.2,11587.0,11587,1,,0
gr21_p5_f70_lH,11791,0.12,0.15,29,11764.0,11791,0.2,11791.0,11791,1,,0
gr21_p5_f70_lL,11791,0.08,0.12,18,11764.0,11791,0.2,11791.0,11791,1,,0
gr21_p5_f70_lM,11791,0.10,0.11,16,11764.0,11791,0.2,11791.0,11791,1,,0
gr21_p5_f90_lH,13238,0.00,0.03,0,13238.0,13238,0.0,13238.0,13238,1,,0
gr21_p5_f90_lL,13238,0.00,0.03,0,13238.0,13238,0.0,13238.0,13238,1,,0
gr21_p5_f90_lM,13238,0.00,0.03,0,13238.0,13238,0.0,13238.0,13238,1,,0
ulysses22_p3_f50_lH,18453,0.00,0.00,0,18453.0,18453,0.0,18453.0,18453,1,,0
ulysses22_p3_f50_lL,18453,0.00,0.00,0,18453.0,18453,0.0,18453.0,18453,1,,0
ulysses22_p3_f50_lM,18453,0.00,0.00,0,18453.0,18453,0.0,18453.0,18453,1,,0
ulysses22_p3_f70_lH,19213,0.00,0.00,0,19213.0,19213,0.0,19213.0,19213,1,,0
ulysses22_p3_f70_lL,19213,0.00,0.01,0,19213.0,19213,0.0,19213.0,19213,1,,0
ulysses22_p3_f70_lM,19213,0.00,0.01,0,19213.0,19213,0.0,19213.0,19213,1,,0
ulysses22_p3_f90_lH,20718,0.09,0.19,38,20657.0,20718,0.3,20718.0,20718,1,,0
ulysses22_p3_f90_lL,20718,0.07,0.15,57,20657.0,20718,0.3,20716.5,20718,1,,0
ulysses22_p3_f90_lM,20718,0.07,0.21,70,20657.0,20718,0.3,20718.0,20718,1,,0
ulysses22_p5_f50_lH,30433,0.10,0.08,7,30412.0,30433,0.1,30433.0,30433,1,,0
ulysses22_p5_f50_lL,30433,0.10,0.08,9,30412.0,30433,0.1,30433.0,30433,1,,0
ulysses22_p5_f50_lM,30433,0.11,0.07,3,30412.0,30433,0.1,30433.0,30433,1,,0
ulysses22_p5_f70_lH,32405,0.00,0.01,0,32405.0,32405,0.0,32405.0,32405,1,,0
ulysses22_p5_f70_lL,32405,0.00,0.02,0,32405.0,32405,0.0,32405.0,32405,1,,0
ulysses22_p5_f70_lM,32405,0.00,0.02,0,32405.0,32405,0.0,32405.0,32405,1,,0
ulysses22_p5_f90_lH,33904,0.21,0.51,171,33826.0,33904,0.2,33901.0,33904,1,,0
ulysses22_p5_f90_lL,33904,0.19,0.42,83,33826.0,33904,0.2,33901.1,33904,1,,0
ulysses22_p5_f90_lM,33904,0.16,0.38,77,33826.0,33904,0.2,33901.8,33904,1,,0
gr24_p3_f50_lH,3066,0.06,0.04,6,3059.0,3066,0.2,3066.0,3066,1,,0
gr24_p3_f50_lL,3086,0.05,0.17,104,3059.0,3086,0.9,3086.0,3086,1,,0
gr24_p3_f50_lM,3066,0.05,0.04,11,3059.0,3066,0.2,3066.0,3066,1,,0
gr24_p3_f70_lH,3207,0.05,0.04,2,3206.5,3220,0.4,3207.0,3207,1,,0
gr24_p3_f70_lL,3216,0.06,0.09,34,3206.5,3220,0.4,3216.0,3216,1,,0
gr24_p3_f70_lM,3211,0.05,0.06,14,3206.5,3220,0.4,3211.0,3211,1,,0
gr24_p3_f90_lH,3568,0.08,0.08,6,3564.0,3572,0.2,3568.0,3568,1,,0
gr24_p3_f90_lL,3585,0.08,0.24,130,3566.0,3585,0.5,3585.0,3585,1,,0
gr24_p3_f90_lM,3572,0.08,0.09,10,3564.0,3572,0.2,3572.0,3572,1,,0
gr24_p5_f50_lH,5006,0.12,0.15,40,4997.0,5006,0.2,5006.0,5006,1,,0
gr24_p5_f50_lL,5026,0.10,0.27,126,4997.0,5026,0.6,5026.0,5026,1,,0
gr24_p5_f50_lM,5006,0.13,0.12,46,4997.0,5006,0.2,5006.0,5006,1,,0
gr24_p5_f70_lH,5400,0.07,0.06,2,5399.5,5409,0.2,5400.0,5400,1,,0
gr24_p5_f70_lL,5477,0.15,3.91,3706,5399.5,5477,1.4,5477.0,5477,1,,0
gr24_p5_f70_lM,5409,0.12,0.13,20,5399.5,5409,0.2,5409.0,5409,1,,0
gr24_p5_f90_lH,5873,0.29,0.33,30,5869.0,5903,0.6,5873.0,5873,1,,0
gr24_p5_f90_lL,5964,0.23,209.20,129491,5869.0,5964,1.6,5964.0,5964,1,,0
gr24_p5_f90_lM,5903,0.25,0.70,298,5869.0,5903,0.6,5903.0,5903,1,,0
fri26_p3_f50_lH,2166,0.00,0.02,0,2166.0,2166,0.0,2166.0,2166,1,,0
fri26_p3_f50_lL,2167,0.00,0.05,0,2167.0,2167,0.0,2167.0,2167,1,,0
fri26_p3_f50_lM,2167,0.00,0.06,0,2167.0,2167,0.0,2167.0,2167,1,,0
fri26_p3_f70_lH,2259,0.10,0.48,251,2242.0,2259,0.8,2259.0,2259,1,,0
fri26_p3_f70_lL,2291,0.10,6.45,8783,2242.0,2291,2.2,2291.0,2291,1,,0
fri26_p3_f70_lM,2290,0.09,12.42,15097,2242.0,2291,2.2,2290.0,2290,1,,0
fri26_p3_f90_lH,2620,0.09,0.15,41,2606.5,2620,0.5,2620.0,2620,1,,0
fri26_p3_f90_lL,2620,0.09,0.16,47,2606.5,2620,0.5,2620.0,2620,1,,0
fri26_p3_f90_lM,2620,0.11,0.24,113,2606.5,2620,0.5,2620.0,2620,1,,0
fri26_p5_f50_lH,3441,0.15,0.57,343,3418.0,3441,0.7,3441.0,3441,1,,0
fri26_p5_f50_lL,3441,0.12,0.86,751,3416.7,3441,0.7,3441.0,3441,1,,0
fri26_p5_f50_lM,3441,0.14,0.71,695,3416.7,3441,0.7,3441.0,3441,1,,0
fri26_p5_f70_lH,3754,0.19,1.19,893,3737.0,3799,1.7,3754.0,3754,1,,0
fri26_p5_f70_lL,3808,0.20,79.20,70533,3737.0,3808,1.9,3808.0,3808,1,,0
fri26_p5_f70_lM,3799,0.14,41.22,34769,3737.0,3799,1.7,3799.0,3799,1,,0
fri26_p5_f90_lH,4374,0.37,44.13,24970,4312.5,4374,1.4,4374.0,4374,1,,0
fri26_p5_f90_lL,4374,0.36,25.64,14000,4310.5,4374,1.5,4374.0,4374,1,,0
fri26_p5_f90_lM,4374,0.31,54.22,26980,4311.2,4374,1.5,4374.0,4374,1,,0
bayg29_p3_f50_lH,3313,0.00,0.02,0,3313.0,3313,0.0,3313.0,3313,1,,0
bayg29_p3_f50_lL,3313,0.00,0.01,0,3313.0,3313,0.0,3313.0,3313,1,,0
bayg29_p3_f50_lM,3313,0.00,0.02,0,3313.0,3313,0.0,3313.0,3313,1,,0
bayg29_p3_f70_lH,3753,0.10,0.27,141,3726.0,3759,0.9,3753.0,3753,1,,0
bayg29_p3_f70_lL,3769,0.11,0.51,349,3726.0,3769,1.2,3769.0,3769,1,,0
bayg29_p3_f70_lM,3753,0.11,0.38,252,3726.0,3759,0.9,3753.0,3753,1,,0
bayg29_p3_f90_lH,4500,0.10,0.31,164,4485.0,4500,0.3,4500.0,4500,1,,0
bayg29_p3_f90_lL,4500,0.12,0.31,132,4485.0,4500,0.3,4500.0,4500,1,,0
bayg29_p3_f90_lM,4500,0.14,0.33,175,4485.0,4500,0.3,4500.0,4500,1,,0
bayg29_p5_f50_lH,5415,0.13,0.14,16,5388.0,5415,0.5,5415.0,5415,1,,0
bayg29_p5_f50_lL,5415,0.17,0.14,6,5388.0,5415,0.5,5415.0,5415,1,,0
bayg29_p5_f50_lM,5415,0.14,0.19,32,5388.0,5415,0.5,5415.0,5415,1,,0
bayg29_p5_f70_lH,6352,0.21,0.80,474,6319.0,6352,0.5,6352.0,6352,1,,0
bayg29_p5_f70_lL,6371,0.23,0.91,412,6319.0,6371,0.8,6371.0,6371,1,,0
bayg29_p5_f70_lM,6352,0.17,0.85,568,6319.0,6352,0.5,6352.0,6352,1,,0
bayg29_p5_f90_lH,7490,0.33,1.55,737,7464.0,7490,0.3,7490.0,7490,1,,0
bayg29_p5_f90_lL,7490,0.32,1.21,514,7464.0,7490,0.3,7490.0,7490,1,,0
bayg29_p5_f90_lM,7490,0.36,1.37,580,7464.0,7490,0.3,7490.0,7490,1,,0
bays29_p3_f50_lH,4274,0.08,0.05,3,4270.0,4274,0.1,4274.0,4274,1,,0
bays29_p3_f50_lL,4293,0.06,0.05,10,4270.0,4293,0.5,4293.0,4293,1,,0
bays29_p3_f50_lM,4274,0.06,0.04,3,4270.0,4274,0.1,4274.0,4274,1,,0
bays29_p3_f70_lH,5075,0.00,0.01,0,5075.0,5075,0.0,5075.0,5075,1,,0
bays29_p3_f70_lL,5075,0.00,0.01,0,5075.0,5075,0.0,5075.0,5075,1,,0
bays29_p3_f70_lM,5075,0.00,0.00,0,5075.0,5075,0.0,5075.0,5075,1,,0
