Instance name, maxTimeWidth (omega_c), maxRouteTime (omega_0), # service days, # customers,	# operations, Opt./Best no waiting (Subramanyan and Gounaris), Opt./Best waiting (Subramanyan and Gounaris), Problem type, Algorithm,Algorithm,# cons, # var, Root time (sec.), Total time (sec.), SEC r_time (sec.), SEC time (sec.), PEC r_time (sec.), PEC time (sec.), #BB r_iterations, #BC iterations, #BC nodes, #Connect r_cuts, #Connect cuts, #PEC r_cuts, #PEC cuts, Root LB, Root UB, Best Bound, Best Integer, Status
ulysses16_p3_f90_lH,1348,7417,3,15,39,20212,20212,CTSP_2,BC_ISCE,78,468,0.05,0.22,0.00,0.00,0.01,0.14,82,1291,152,35,54,12,74,20049.5,20212,20210.00,20212,2
ulysses16_p3_f90_lL,674,7417,3,15,39,20212,20212,CTSP_2,BC_ISCE,78,468,0.06,0.18,0.00,0.00,0.02,0.12,79,816,92,33,43,17,67,20049.3,20212,20210.50,20212,2
ulysses16_p3_f90_lM,1011,7417,3,15,39,20212,20212,CTSP_2,BC_ISCE,78,468,0.05,0.21,0.00,0.00,0.01,0.12,75,1689,161,31,42,12,74,20049.0,20212,20210.50,20212,2
ulysses16_p5_f50_lH,1251,6880,5,15,40,28783,28783,CTSP_2,BC_ISCE,80,284,0.07,0.29,0.00,0.00,0.02,0.19,86,1862,194,29,44,23,138,28587.4,28783,28783.00,28783,2
ulysses16_p5_f50_lL,625,6880,5,15,40,28816,28783,CTSP_2,BC_ISCE,80,284,0.07,0.28,0.00,0.00,0.02,0.19,89,1944,227,32,38,20,137,28586.0,28783,28781.00,28783,2
ulysses16_p5_f50_lM,938,6880,5,15,40,28816,28783,CTSP_2,BC_ISCE,80,284,0.07,0.21,0.00,0.01,0.02,0.12,86,1690,123,29,38,23,92,28587.4,28783,28781.33,28783,2
ulysses16_p5_f70_lH,1330,7316,5,15,59,32502,32502,CTSP_2,BC_ISCE,118,638,0.10,0.54,0.00,0.03,0.03,0.29,147,4666,432,44,72,24,159,32034.0,32518,32498.83,32502,2
ulysses16_p5_f70_lL,665,7316,5,15,59,32502,32502,CTSP_2,BC_ISCE,118,638,0.09,0.33,0.00,0.01,0.03,0.19,112,2054,148,45,75,25,119,32034.0,32518,32499.33,32502,2
ulysses16_p5_f70_lM,997,7316,5,15,59,32502,32502,CTSP_2,BC_ISCE,118,638,0.10,0.31,0.00,0.01,0.03,0.18,123,1657,132,42,71,23,117,32034.0,32518,32499.00,32502,2
ulysses16_p5_f90_lH,1348,7417,5,15,66,33408,33408,CTSP_2,BC_ISCE,132,806,0.09,0.22,0.00,0.01,0.03,0.13,163,1261,72,56,69,20,78,33184.0,33408,33405.50,33408,2
ulysses16_p5_f90_lL,674,7417,5,15,66,33408,33408,CTSP_2,BC_ISCE,132,806,0.12,0.23,0.00,0.01,0.03,0.11,187,1382,131,54,71,22,64,33184.0,33408,33404.75,33408,2
ulysses16_p5_f90_lM,1011,7417,5,15,66,33408,33408,CTSP_2,BC_ISCE,132,806,0.13,0.21,0.00,0.01,0.04,0.10,206,928,61,54,67,26,65,33184.0,33408,33406.00,33408,2
br17_p3_f50_lH,7,42,3,16,26,117,117,CTSP_2,BC_ISCE,52,200,0.00,0.00,0.00,0.00,0.00,0.00,0,44,0,22,22,0,0,0.0,0,117.00,117,2
br17_p3_f50_lL,3,42,3,16,26,117,117,CTSP_2,BC_ISCE,52,200,0.00,0.00,0.00,0.00,0.00,0.00,0,44,0,22,22,0,0,0.0,0,117.00,117,2
br17_p3_f50_lM,5,42,3,16,26,117,117,CTSP_2,BC_ISCE,52,200,0.00,0.00,0.00,0.00,0.00,0.00,0,44,0,22,22,0,0,0.0,0,117.00,117,2
br17_p3_f70_lH,7,42,3,16,37,117,117,CTSP_2,BC_ISCE,74,422,0.00,0.01,0.00,0.00,0.00,0.00,0,136,0,37,37,0,0,0.0,0,117.00,117,2
br17_p3_f70_lL,3,42,3,16,37,117,117,CTSP_2,BC_ISCE,74,422,0.00,0.01,0.00,0.00,0.00,0.00,0,136,0,37,37,0,0,0.0,0,117.00,117,2
br17_p3_f70_lM,5,42,3,16,37,117,117,CTSP_2,BC_ISCE,74,422,0.00,0.01,0.00,0.00,0.00,0.00,0,136,0,37,37,0,0,0.0,0,117.00,117,2
br17_p3_f90_lH,7,42,3,16,42,117,117,CTSP_2,BC_ISCE,84,546,0.00,0.02,0.00,0.00,0.00,0.00,0,145,0,43,43,0,0,0.0,0,117.00,117,2
