ulysses16_p5_f90_lL 	  674	 7417	    5	   15	   66	  33408.0	  33408.0	CTSP_2         	H CTSP2        	    1.0950	 33408.000	  6820.000	    1	
ulysses16_p5_f90_lM 	 1011	 7417	    5	   15	   66	  33408.0	  33408.0	CTSP_2         	H CTSP2        	    1.0280	 33408.000	  6820.000	    1	
br17_p3_f50_lH      	    7	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.0860	   117.000	    39.000	    1	
br17_p3_f50_lL      	    3	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.0860	   117.000	    39.000	    1	
br17_p3_f50_lM      	    5	   42	    3	   16	   26	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.0850	   117.000	    39.000	    1	
br17_p3_f70_lH      	    7	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1050	   117.000	    39.000	    1	
br17_p3_f70_lL      	    3	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1060	   117.000	    39.000	    1	
br17_p3_f70_lM      	    5	   42	    3	   16	   37	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1050	   117.000	    39.000	    1	
br17_p3_f90_lH      	    7	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1260	   117.000	    39.000	    1	
br17_p3_f90_lL      	    3	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1230	   117.000	    39.000	    1	
br17_p3_f90_lM      	    5	   42	    3	   16	   42	    117.0	    117.0	CTSP_2         	H CTSP2        	    0.1210	   117.000	    39.000	    1	
br17_p5_f50_lH      	    7	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.1560	   195.000	    39.000	    1	
br17_p5_f50_lL      	    3	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.1620	   195.000	    39.000	    1	
br17_p5_f50_lM      	    5	   42	    5	   16	   44	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.1560	   195.000	    39.000	    1	
br17_p5_f70_lH      	    7	   42	    5	   16	   61	    190.0	    190.0	CTSP_2         	H CTSP2        	    0.2340	   190.000	    39.000	    1	
br17_p5_f70_lL      	    3	   42	    5	   16	   61	    190.0	    190.0	CTSP_2         	H CTSP2        	    0.2390	   190.000	    39.000	    1	
br17_p5_f70_lM      	    5	   42	    5	   16	   61	    190.0	    190.0	CTSP_2         	H CTSP2        	    0.2350	   190.000	    39.000	    1	
br17_p5_f90_lH      	    7	   42	    5	   16	   71	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.2960	   195.000	    39.000	    1	
br17_p5_f90_lL      	    3	   42	    5	   16	   71	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.2960	   195.000	    39.000	    1	
br17_p5_f90_lM      	    5	   42	    5	   16	   71	    195.0	    195.0	CTSP_2         	H CTSP2        	    0.2920	   195.000	    39.000	    1	
gr17_p3_f50_lH      	  359	 1970	    3	   16	   27	   5186.0	   5186.0	CTSP_2         	H CTSP2        	    0.1270	  5186.000	  1791.000	    1	
gr17_p3_f50_lL      	  179	 1970	    3	   16	   27	   5186.0	   5186.0	CTSP_2         	H CTSP2        	    0.1330	  5186.000	  1791.000	    1	
gr17_p3_f50_lM      	  269	 1970	    3	   16	   27	   5186.0	   5186.0	CTSP_2         	H CTSP2        	    0.1130	  5186.000	  1791.000	    1	
gr17_p3_f70_lH      	  387	 2068	    3	   16	   37	   5563.0	   5534.0	CTSP_2         	H CTSP2        	    0.4690	  5586.000	  1962.000	    1	
gr17_p3_f70_lL      	  193	 2068	    3	   16	   37	   5621.0	   5588.0	CTSP_2         	H CTSP2        	    0.5160	  5588.000	  1964.000	    1	
gr17_p3_f70_lM      	  290	 2068	    3	   16	   37	   5588.0	   5534.0	CTSP_2         	H CTSP2        	    0.4580	  5586.000	  2031.000	    1	
gr17_p3_f90_lH      	  416	 2242	    3	   16	   44	   6009.0	   6009.0	CTSP_2         	H CTSP2        	    0.3850	  6009.000	  2073.000	    1	
gr17_p3_f90_lL      	  208	 2242	    3	   16	   44	   6009.0	   6009.0	CTSP_2         	H CTSP2        	    0.3520	  6009.000	  2073.000	    1	
gr17_p3_f90_lM      	  312	 2242	    3	   16	   44	   6009.0	   6009.0	CTSP_2         	H CTSP2        	    0.3840	  6009.000	  2073.000	    1	
gr17_p5_f50_lH      	  359	 1977	    5	   16	   44	   8456.0	   8448.0	CTSP_2         	H CTSP2        	    0.6160	  8448.000	  1967.000	    1	
gr17_p5_f50_lL      	  179	 1977	    5	   16	   44	   8456.0	   8456.0	CTSP_2         	H CTSP2        	    0.9090	  8456.000	  1798.000	    1	
gr17_p5_f50_lM      	  269	 1977	    5	   16	   44	   8456.0	   8452.0	CTSP_2         	H CTSP2        	    0.7020	  8452.000	  1973.000	    1	
gr17_p5_f70_lH      	  387	 2129	    5	   16	   61	   9236.0	   9232.0	CTSP_2         	H CTSP2        	    1.6690	  9232.000	  2031.000	    1	
gr17_p5_f70_lL      	  193	 2129	    5	   16	   61	   9343.0	   9238.0	CTSP_2         	H CTSP2        	    2.6010	  9238.000	  1964.000	    1	
gr17_p5_f70_lM      	  290	 2129	    5	   16	   61	   9238.0	   9234.0	CTSP_2         	H CTSP2        	    1.2850	  9234.000	  2075.000	    1	
gr17_p5_f90_lH      	  416	 2290	    5	   16	   75	  10027.0	  10027.0	CTSP_2         	H CTSP2        	    5.3750	 10027.000	  2082.000	    1	
gr17_p5_f90_lL      	  208	 2290	    5	   16	   75	  10027.0	  10027.0	CTSP_2         	H CTSP2        	    4.5440	 10027.000	  2082.000	    1	
gr17_p5_f90_lM      	  312	 2290	    5	   16	   75	  10027.0	  10027.0	CTSP_2         	H CTSP2        	    5.3460	 10027.000	  2082.000	    1	
gr21_p3_f50_lH      	  491	 2701	    3	   20	   35	   6859.0	   6859.0	CTSP_2         	H CTSP2        	    0.1510	  6859.000	  2456.000	    1	
gr21_p3_f50_lL      	  245	 2701	    3	   20	   35	   6988.0	   6859.0	CTSP_2         	H CTSP2        	    0.1470	  6859.000	  2466.000	    1	
gr21_p3_f50_lM      	  368	 2701	    3	   20	   35	   6861.0	   6859.0	CTSP_2         	H CTSP2        	    0.1520	  6859.000	  2456.000	    1	
gr21_p3_f70_lH      	  489	 2690	    3	   20	   41	   7192.0	   7192.0	CTSP_2         	H CTSP2        	    0.2470	  7192.000	  2448.000	    1	
gr21_p3_f70_lL      	  244	 2690	    3	   20	   41	   7192.0	   7192.0	CTSP_2         	H CTSP2        	    0.2450	  7192.000	  2448.000	    1	
gr21_p3_f70_lM      	  366	 2690	    3	   20	   41	   7192.0	   7192.0	CTSP_2         	H CTSP2        	    0.2520	  7192.000	  2448.000	    1	
gr21_p3_f90_lH      	  546	 3004	    3	   20	   56	   7993.0	   7993.0	CTSP_2         	H CTSP2        	    0.3190	  7993.000	  2731.000	    1	
gr21_p3_f90_lL      	  273	 3004	    3	   20	   56	   7993.0	   7993.0	CTSP_2         	H CTSP2        	    0.3120	  7993.000	  2731.000	    1	
